"Date","URL","Title","Site","Tags"
"02/10/2014","http://www.cambridgetimes.ca/news-story/4891488-if-brewer-wins-anyway-regional-council-may-be-in-a-tough-spot/","If Brewer wins anyway, regional council may be in a tough spot","Cambridge Times","waterloo-region"
"02/10/2014","http://www.cambridgetimes.ca/cambridge-on-topics/4894328-regional-chair-candidates","Regional chair candidates","Cambridge Times","waterloo-region"
"02/10/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-waterloo-ward-2-profile-1.2784573","Waterloo Region votes: Waterloo Ward 2 profile","CBC","waterloo"
"02/10/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-10-gabriele-korschewitz/","Kitchener Votes Ward 10: Gabriele Korschewitz","Kitchener Post","kitchener"
"02/10/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-8-eric-bohner/","Kitchener Votes Ward 8: Eric Bohner","Kitchener Post","kitchener"
"02/10/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-9-michael-windley/","Kitchener Votes Ward 9: Michael Windley","Kitchener Post","kitchener"
"02/10/2014","http://www.kitchenerpost.ca/news/large-race-for-kitcheners-regional-council-seats/","Large race for Kitchener’s regional council seats","Kitchener Post","waterloo-region"
"02/10/2014","http://www.therecord.com/news-story/4894412-opp-investigating-woolwich-mayor-over-expenses/","OPP investigating Woolwich mayor over expenses","The Record","woolwich"
"03/10/2014","http://www.cambridgetimes.ca/cambridge-on-topics/4895886-north-dumfries-mayoral-candidates","North Dumfries mayoral candidates","Cambridge Times","north-dumfries"
"03/10/2014","http://www.cambridgetimes.ca/cambridge-on-topics/4896532-north-dumfries-candidates-for-ward-1","North Dumfries, candidates for Ward 1","Cambridge Times","north-dumfries"
"03/10/2014","http://www.cambridgetimes.ca/cambridge-on-topics/4896655-north-dumfries-candidates-for-ward-2","North Dumfries, candidates for Ward 2","Cambridge Times","north-dumfries"
"03/10/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-waterloo-ward-4-profile-1.2784976","Waterloo Region votes: Waterloo Ward 4 profile","CBC","waterloo"
"03/10/2014","http://www.southwesternontario.ca/news/wellesley-candidates-look-to-impress-public/","Wellesley candidates look to impress public","Elmira Independent","wellesley"
"03/10/2014","http://observerxtra.com/opp-takes-lead-on-cowan-case/","OPP takes lead on Cowan case","ObserverXtra","woolwich"
"03/10/2014","http://observerxtra.com/specialized-equipment-makes-voting-more-accessible-in-woolwich/","Specialized equipment makes voting more accessible in Woolwich","ObserverXtra","woolwich"
"03/10/2014","http://observerxtra.com/woolwich-mayoral-debate-a-low-key-event/","Woolwich mayoral debate a low-key event","ObserverXtra","woolwich"
"03/10/2014","http://community.thecord.ca/blog/2014/10/03/mayoral-candidate-debate/","Mayoral Candidate Debate","The Cord","kitchener"
"03/10/2014","http://www.therecord.com/news-story/4897010-campaign-controversy-continues-in-waterloo-region/","Campaign controversy continues in Waterloo Region","The Record","all"
"03/10/2014","http://www.therecord.com/news-story/4896895-most-waterloo-region-candidates-wouldn-t-cancel-lrt/","Most Waterloo Region candidates wouldn’t cancel LRT","The Record","all"
"03/10/2014","http://www.therecord.com/news-story/4896840-barb-bierman/","Barb Bierman","The Record","cambridge"
"03/10/2014","http://www.therecord.com/news-story/4897064-margaret-barr/","Margaret Barr","The Record","cambridge"
"03/10/2014","http://www.therecord.com/news-story/4897047-paul-brown/","Paul Brown","The Record","cambridge"
"03/10/2014","http://www.therecord.com/news-story/4896109-dave-schnider/","Dave Schnider","The Record","kitchener"
"03/10/2014","http://www.therecord.com/news-story/4897020-eric-bohner/","Eric Bohner","The Record","kitchener"
"03/10/2014","http://www.therecord.com/news-story/4897012-james-rhodes/","James Rhodes","The Record","kitchener"
"03/10/2014","http://www.therecord.com/news-story/4897005-derrick-ostner/","Derrick Ostner","The Record","north-dumfries"
"03/10/2014","http://www.therecord.com/news-story/4897103-gordon-taylor/","Gordon Taylor","The Record","north-dumfries"
"03/10/2014","http://www.therecord.com/news-story/4897108-brian-bourke/","Brian Bourke","The Record","waterloo"
"03/10/2014","http://www.therecord.com/news-story/4897167-janice-moore/","Janice Moore","The Record","waterloo"
"03/10/2014","http://www.therecord.com/news-story/4895495-brewer-s-name-remains-on-cambridge-ballot-despite-withdrawal-from-regional-race/","Brewer's name remains on Cambridge ballot despite withdrawal from regional race","The Record","waterloo-region"
"03/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4900560-regional-council-waterloo","Regional Council - Waterloo","The Record","waterloo-region"
"03/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4900553-regional-council-kitchener","Regional Council - Kitchener","The Record","waterloo-region"
"03/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4900566-regional-council-cambridge","Regional Council - Cambridge","The Record","waterloo-region"
"03/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4900545-regional-chair","Regional Chair","The Record","waterloo-region"
"03/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4902399-wilmot-ward-4","Wilmot Ward 4","The Record","wilmot"
"03/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4902413-woolwich-ward-2","Woolwich Ward 2","The Record","woolwich"
"03/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4902411-woolwich-ward-1","Woolwich Ward 1","The Record","woolwich"
"03/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4902405-wellesley-ward-3","Wellesley Ward 3","The Record","wellesley"
"04/10/2014","http://www.therecord.com/opinion-story/4896361-municipal-candidates-get-a-chance-to-shine/","Municipal candidates get a chance to shine","The Record","all"
"06/10/2014","http://www.570news.com/2014/10/06/audio-getting-to-know-dave-jaworsky-running-for-mayor-of-waterloo/","AUDIO – Getting to know Dave Jaworsky, running for mayor of Waterloo","570 News","waterloo"
"06/10/2014","http://www.570news.com/2014/10/06/audio-getting-to-know-dave-macdonald-running-for-mayor-of-waterloo/","AUDIO – Getting to know Dave MacDonald, running for mayor of Waterloo","570 News","waterloo"
"06/10/2014","http://www.570news.com/2014/10/06/audio-getting-to-know-erika-traub-running-for-mayor-of-waterloo/","AUDIO – Getting to know Erika Traub, running for mayor of Waterloo","570 News","waterloo"
"06/10/2014","http://www.570news.com/2014/10/06/audio-getting-to-know-rami-said-running-for-mayor-of-waterloo/","AUDIO – Getting to know Rami Said, running for mayor of Waterloo","570 News","waterloo"
"06/10/2014","http://www.cambridgetimes.ca/news-story/4899862-mayoral-hopeful-aims-to-discredit-rivals/","Mayoral hopeful aims to discredit rivals","Cambridge Times","cambridge"
"06/10/2014","http://www.cambridgetimes.ca/cambridge-on-topics/4898967-north-dumfries-candidates-for-ward-3","North Dumfries, candidates for Ward 3","Cambridge Times","north-dumfries"
"06/10/2014","http://www.cambridgetimes.ca/cambridge-on-topics/4899003-north-dumfries-candidates-for-ward-4","North Dumfries, candidates for Ward 4","Cambridge Times","north-dumfries"
"06/10/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-waterloo-ward-7-profile-1.2788517","Waterloo Region votes: Waterloo Ward 7 profile","CBC","waterloo"
"06/10/2014","http://www.therecord.com/news-story/4900448-niki-allerton/","Niki Allerton","The Record","kitchener"
"06/10/2014","http://www.therecord.com/news-story/4900601-the-acclaimed-waterloo-region-politicians-aim-to-make-a-difference/","The acclaimed: Waterloo Region politicians aim to make a difference","The Record","kitchener,waterloo,wilmot,woolwich"
"06/10/2014","http://www.therecord.com/news-story/4900543-waterloo-region-chair-candidate-aissa-selling-property-to-avoid-lrt-conflict/","Waterloo Region chair candidate Aissa selling property to avoid LRT conflict","The Record","waterloo-region"
"06/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4900534-mayor-wilmot","Mayor - Wilmot","The Record","wilmot"
"07/10/2014","http://www.570news.com/2014/10/07/aissa-to-sell-northfield-property-to-avoid-possible-lrt-conflict/","Aissa to sell Northfield property to avoid possible LRT conflict","570 News","waterloo-region"
"07/10/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-mayor-hopefuls-agree-bureaucracy-stymies-business-1.2789893","Waterloo mayor hopefuls agree bureaucracy stymies business","CBC","waterloo"
"07/10/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-waterloo-ward-1-profile-1.2789169","Waterloo Region votes: Waterloo Ward 1 profile","CBC","waterloo"
"07/10/2014","http://www.therecord.com/news-story/4901906-kayla-andrade/","Kayla Andrade","The Record","cambridge"
"07/10/2014","http://www.therecord.com/news-story/4902430-waterloo-mayoral-hopefuls-pitch-city-hall-reform/","Waterloo mayoral hopefuls pitch city hall reform","The Record","waterloo"
"07/10/2014","http://www.therecord.com/news-story/4902430-waterloo-mayoral-hopefuls-pitch-city-hall-reform/","Waterloo mayoral hopefuls pitch city hall reform","The Record","waterloo"
"07/10/2014","http://www.therecord.com/news-story/4902365-waterloo-region-chair-hopeful-has-criminal-record/","Waterloo Region chair hopeful has criminal record","The Record","waterloo-region"
"07/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4902395-wilmot-ward-2","Wilmot Ward 2","The Record","wilmot"
"07/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4902415-woolwich-ward-3","Woolwich Ward 3","The Record","woolwich"
"07/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4900542-mayor-woolwich","Mayor - Woolwich","The Record","woolwich"
"07/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4900539-wellesley-mayor","Mayor - Wellesley","The Record","wellesley"
"08/10/2014","http://www.570news.com/2014/10/08/candidate-running-for-regional-chair-reportedly-has-criminal-record/","Candidate running for Regional Chair reportedly has criminal record","570 News","waterloo-region"
"08/10/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-waterloo-ward-3-profile-1.2791674","Waterloo Region votes: Waterloo Ward 3 profile","CBC","waterloo"
"08/10/2014","http://www.therecord.com/news-story/4903838-shannon-adshade/","Shannon Adshade","The Record","cambridge"
"08/10/2014","http://www.therecord.com/news-story/4904692-kitchener-mayoral-candidates-square-off-over-spending-services/","Kitchener mayoral candidates square off over spending, services","The Record","kitchener"
"08/10/2014","http://www.therecord.com/news-story/4896772-replay-kitchener-mayoral-forum/","REPLAY: Kitchener Mayoral Forum","The Record","kitchener"
"08/10/2014","http://www.waterloochronicle.ca/news/mayoral-candidates-weigh-in-on-idea-of-budget-committee/","Mayoral candidates weigh in on idea of budget committee","Waterloo Chronicle","waterloo"
"08/10/2014","http://www.waterloochronicle.ca/news/waterloo-votes-2014-affordable-housing/","Waterloo Votes 2014 — Affordable housing","Waterloo Chronicle","waterloo"
"08/10/2014","http://www.waterloochronicle.ca/news/regional-council-candidates-split-on-support-for-new-ion/","Regional council candidates split on support for new Ion","Waterloo Chronicle","waterloo-region"
"09/10/2014","http://www.cambridgetimes.ca/news-story/4905523-jane-brewer-signs-off-on-non-campaign-awareness/","Jane Brewer signs off on non-campaign awareness","Cambridge Times","waterloo-region"
"09/10/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-1-marcus-drasdo/","Kitchener Votes Ward 1: Marcus Drasdo","Kitchener Post","kitchener"
"09/10/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-1-wayne-riehl/","Kitchener Votes Ward 1: Wayne Riehl","Kitchener Post","kitchener"
"09/10/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-1-niki-allerton/","Kitchener Votes Ward 1: Niki Allerton","Kitchener Post","kitchener"
"09/10/2014","http://www.therecord.com/news-story/4904607-advance-voting-begins-for-municipal-elections/","Advance Voting Begins for Municipal Elections","The Record","all"
"09/10/2014","http://www.therecord.com/news-story/4908521-home-offices-for-kitchener-councillors-cost-taxpayers-almost-100k-since-2011/","Home offices for Kitchener councillors cost taxpayers almost $100K since 2011 ","The Record","kitchener"
"09/10/2014","http://www.therecord.com/news-story/4908628-waterloo-region-s-debt-poverty-dominate-heated-chair-forum/","Waterloo Region’s debt, poverty dominate heated chair forum ","The Record","waterloo-region"
"09/10/2014","http://www.therecord.com/news-story/4904691-replay-regional-chair-forum/","REPLAY: Regional Chair Forum ","The Record","waterloo-region"
"09/10/2014","http://www.therecord.com/publication-topics/waterlooregionrecord/4902391-wilmot-ward-1","Wilmot Ward 1","The Record","wilmot"
"10/10/2014","http://www.southwesternontario.ca/news/tame-woolwich-mayoral-debate-tackles-infrastructure-regional-issues/","Tame Woolwich mayoral debate tackles infrastructure, regional issues","Elmira Independent","woolwich"
"10/10/2014","http://www.therecord.com/news-story/4908512-pair-of-withdrawn-candidates-will-still-appear-on-ballots-oct-27/","Pair of withdrawn candidates will still appear on ballots Oct. 27 ","The Record","waterloo-region"
